
http://www.gsmarena.com/acer_liquid_z630-7528.php,About 200 EUR,720 x 1280 ,Android 5.1 (Lollipop),"Accelerometer, proximity, compass",LED,Yes,f,8 ,"Geo-tagging, touch focus, face detection, HDR, panorama",No,Li-Ion,4000,NULL,1,8,Mediatek MT6735,Mali-T720MP2,Quad-core 1.3 GHz Cortex-A53
http://www.gsmarena.com/acer_liquid_z530s-7527.php,NULL,720 x 1280 ,Android 5.1 (Lollipop),"Accelerometer, proximity",LED,Yes,f,8 ,"Geo-tagging, touch focus, face detection, HDR, panorama",No,Li-Ion,2420,NULL,3,32,Mediatek MT6753,Mali-T720MP3,Octa-core 1.3 GHz Cortex-A53
http://www.gsmarena.com/acer_liquid_z530-7526.php,About 150 EUR,720 x 1280 ,Android 5.1 (Lollipop),"Accelerometer, proximity",LED,Yes,f,8 ,"Geo-tagging, touch focus, face detection, HDR, panorama",No,Li-Ion,2420,NULL,1,8,Mediatek MT6735,Mali-T720MP2,Quad-core 1.3 GHz Cortex-A53
http://www.gsmarena.com/acer_liquid_m330-7524.php,NULL,480 x 854 ,Microsoft Windows 10,"Accelerometer, proximity",LED,Yes,f,5 ,Yes,No,Li-Ion,2000,NULL,1,8,Qualcomm MSM8909 Snapdragon 210,Adreno 304,Quad-core 1.0 GHz Cortex-A7
http://www.gsmarena.com/acer_liquid_m320-7525.php,NULL,480 x 854 ,Microsoft Windows 10,"Accelerometer, proximity",LED,Yes,f,5 ,Yes,No,Li-Ion,2000,NULL,1,8,Qualcomm MSM8909 Snapdragon 210,Adreno 304,Quad-core 1.1 GHz Cortex-A7
http://www.gsmarena.com/acer_iconia_tab_10_a3_a30-7218.php,About 250 EUR,1920 x 1200 ,Android 5.0 (Lollipop),Accelerometer,No,No,No,5 ,Geo-tagging,Yes,Li-Ion,5910,256 ,2,64,Intel Atom Z3735F,NULL,Quad-core 1.33 GHz
http://www.gsmarena.com/acer_iconia_one_8_b1_820-7217.php,About 180 EUR,800 x 1280 ,Android 5.0 (Lollipop),Accelerometer,No,No,No,5 ,Yes,Yes,Li-Ion,4550,32 ,1,32,Intel Atom Z3735G,NULL,Quad-core 1.33 GHz
http://www.gsmarena.com/acer_iconia_tab_a3_a20-7136.php,About 190 EUR,1280 x 800 ,Android 4.4 (KitKat),Accelerometer,No,Yes,f,5 ,Geo-tagging,Yes,Li-Po,5700,256 ,1,16,Mediatek MT8127,Mali-450MP4,Quad-core 1.3 GHz Cortex-A7
http://www.gsmarena.com/acer_iconia_tab_a3_a20fhd-7135.php,About 230 EUR,1920 x 1200 ,Android 4.4 (KitKat),Accelerometer,No,Yes,f,5 ,Geo-tagging,Yes,Li-Po,5700,256 ,2,32,Mediatek MT8127,Mali-450MP4,Quad-core 1.5 GHz Cortex-A7
http://www.gsmarena.com/acer_liquid_jade_z-7072.php,About 200 EUR,720 x 1280 ,Android 5.0 (Lollipop),"Accelerometer, gyro, proximity, compass",LED,Yes,f/1.8,13 ,"Geo-tagging, touch focus, face detection, HDR, panorama",Yes,Li-Po,2300,32 ,1,8,Mediatek MT6732,Mali-T760MP2,Quad-core 1.5 GHz Cortex-A53
